customerID,gender,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,age,city,zip_code,city_code,Plan,bundle,index,numbering
9959-WOFKT,Male,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,No,63,Charlotte,28201,704,Fiber optic_plan_21,Fiber optic_plan_21,18,18
4190-MFLUW,Female,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,54,Philadelphia,19101,215,DSL_plan_52,DSL_plan_52,19,19
4183-MYFRB,Female,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,No,54,Phoenix,85001,602,Fiber optic_plan_39,Fiber optic_plan_39,20,20
8779-QRDMV,Male,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,11,Houston,77001,713,DSL_plan_55,DSL_plan_55,21,21
1680-VDCWW,Male,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,No,57,San Diego,92101,858,No_unknown_plan,No_unknown_plan,22,22
1066-JKSGK,Male,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes,46,Houston,77001,713,No_unknown_plan,No_unknown_plan,23,23
3638-WEABW,Female,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,No,56,San Francisco,94101,415,DSL_plan_44,DSL_plan_44,24,24
6322-HRPFA,Male,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,No,59,Fort Worth,76101,817,DSL_plan_12,DSL_plan_12,25,25
6865-JZNKO,Female,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No,87,Houston,77001,713,DSL_plan_16,DSL_plan_16,26,26
6467-CHFZW,Male,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,64,Seattle,98101,206,Fiber optic_plan_45,Fiber optic_plan_45,27,27
8665-UTDHZ,Male,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,61,San Diego,92101,858,DSL_plan_48,DSL_plan_48,28,28
5248-YGIJN,Male,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,No,73,Austin,73301,512,DSL_plan_1,DSL_plan_1,29,29
8773-HHUOZ,Female,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,62,Philadelphia,19101,215,DSL_plan_61,DSL_plan_61,30,30
3841-NFECX,Female,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,No,33,Denver,80201,303,Fiber optic_plan_4,Fiber optic_plan_4,31,31
4929-XIHVW,Male,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No,79,San Diego,92101,858,Fiber optic_plan_53,Fiber optic_plan_53,32,32
6827-IEAUQ,Female,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,No,63,Houston,77001,713,DSL_plan_4,DSL_plan_4,33,33
7310-EGVHZ,Male,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,72,San Antonio,78201,210,No_unknown_plan,No_unknown_plan,34,34
3413-BMNZE,Male,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No,62,Los Angeles,90001,213,DSL_plan_64,DSL_plan_64,35,35
6234-RAAPL,Female,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,No,67,Austin,73301,512,Fiber optic_plan_10,Fiber optic_plan_10,36,36
6047-YHPVI,Male,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,28,Indianapolis,46201,317,Fiber optic_plan_64,Fiber optic_plan_64,37,37
6572-ADKRS,Female,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No,65,Indianapolis,46201,317,Fiber optic_plan_56,Fiber optic_plan_56,38,38
5380-WJKOV,Male,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,74,Phoenix,85001,602,Fiber optic_plan_37,Fiber optic_plan_37,39,39
8168-UQWWF,Female,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,52,Seattle,98101,206,Fiber optic_plan_53,Fiber optic_plan_53,40,40
8865-TNMNX,Male,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,No,38,Washington D.C.,20001,202,DSL_plan_48,DSL_plan_48,41,41
9489-DEDVP,Female,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,No,20,Dallas,75201,214,DSL_plan_14,DSL_plan_14,42,42
9867-JCZSP,Female,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,No,62,Philadelphia,19101,215,No_unknown_plan,No_unknown_plan,43,43
4671-VJLCL,Female,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,No,77,San Antonio,78201,210,DSL_plan_2,DSL_plan_2,44,44
4080-IIARD,Female,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,No,59,Indianapolis,46201,317,DSL_plan_10,DSL_plan_10,45,45
3714-NTNFO,Female,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,No,67,Philadelphia,19101,215,Fiber optic_plan_63,Fiber optic_plan_63,46,46
5948-UJZLF,Male,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97,No,51,Denver,80201,303,DSL_plan_48,DSL_plan_48,47,47
7760-OYPDY,Female,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,63,San Antonio,78201,210,Fiber optic_plan_62,Fiber optic_plan_62,48,48
7639-LIAYI,Male,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,No,61,Charlotte,28201,704,DSL_plan_25,DSL_plan_25,49,49
2954-PIBKO,Female,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,No,68,Seattle,98101,206,DSL_plan_20,DSL_plan_20,50,50
8012-SOUDQ,Female,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,No,82,Dallas,75201,214,Fiber optic_plan_46,Fiber optic_plan_46,51,51
9420-LOJKX,Female,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,71,Phoenix,85001,602,Fiber optic_plan_13,Fiber optic_plan_13,52,52
6575-SUVOI,Female,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,No,26,Los Angeles,90001,213,DSL_plan_26,DSL_plan_26,53,53
7495-OOKFY,Female,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,62,San Diego,92101,858,Fiber optic_plan_48,Fiber optic_plan_48,54,54
4667-QONEA,Female,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,No,61,Denver,80201,303,DSL_plan_3,DSL_plan_3,55,55
1658-BYGOY,Male,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,59,San Antonio,78201,210,Fiber optic_plan_61,Fiber optic_plan_61,56,56
8769-KKTPH,Female,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,No,57,San Antonio,78201,210,Fiber optic_plan_29,Fiber optic_plan_29,57,57
5067-XJQFU,Male,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,No,61,Charlotte,28201,704,Fiber optic_plan_33,Fiber optic_plan_33,58,58
3957-SQXML,Female,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,No,36,Denver,80201,303,No_unknown_plan,No_unknown_plan,59,59
5954-BDFSG,Female,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,No,83,Denver,80201,303,Fiber optic_plan_49,Fiber optic_plan_49,60,60
0434-CSFON,Female,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,No,56,Denver,80201,303,Fiber optic_plan_53,Fiber optic_plan_53,61,61
1215-FIGMP,Male,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,No,36,Fort Worth,76101,817,Fiber optic_plan_46,Fiber optic_plan_46,62,62
0526-SXDJP,Male,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962,No,56,San Antonio,78201,210,DSL_plan_8,DSL_plan_8,63,63
0557-ASKVU,Female,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,No,41,San Antonio,78201,210,DSL_plan_52,DSL_plan_52,64,64
5698-BQJOH,Female,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes,49,Seattle,98101,206,Fiber optic_plan_61,Fiber optic_plan_61,65,65
5122-CYFXA,Female,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,No,12,San Diego,92101,858,DSL_plan_41,DSL_plan_41,66,66
8627-ZYGSZ,Male,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,No,63,Washington D.C.,20001,202,Fiber optic_plan_48,Fiber optic_plan_48,67,67
3410-YOQBQ,Female,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,No,52,San Antonio,78201,210,DSL_plan_33,DSL_plan_33,68,68
3170-NMYVV,Female,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,No,23,Dallas,75201,214,No_unknown_plan,No_unknown_plan,69,69
7410-OIEDU,Male,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,No,55,Denver,80201,303,Fiber optic_plan_24,Fiber optic_plan_24,70,70
2273-QCKXA,Male,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,No,37,Denver,80201,303,DSL_plan_60,DSL_plan_60,71,71
0731-EBJQB,Female,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,No,63,Seattle,98101,206,No_unknown_plan,No_unknown_plan,72,72
1891-QRQSA,Male,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099,No,58,Washington D.C.,20001,202,Fiber optic_plan_17,Fiber optic_plan_17,73,73
8028-PNXHQ,Male,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,No,55,Washington D.C.,20001,202,No_unknown_plan,No_unknown_plan,74,74
5630-AHZIL,Female,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,No,65,San Antonio,78201,210,DSL_plan_27,DSL_plan_27,75,75
2673-CXQEU,Female,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,No,67,Indianapolis,46201,317,Fiber optic_plan_5,Fiber optic_plan_5,76,76
6416-JNVRK,Female,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,No,56,Houston,77001,713,DSL_plan_63,DSL_plan_63,77,77
5590-ZSKRV,Female,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,No,53,Philadelphia,19101,215,DSL_plan_16,DSL_plan_16,78,78
0191-ZHSKZ,Male,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,No,62,Denver,80201,303,DSL_plan_13,DSL_plan_13,79,79
3887-PBQAO,Female,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,No,79,Denver,80201,303,No_unknown_plan,No_unknown_plan,80,80
5919-TMRGD,Female,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,87,Chicago,60601,312,Fiber optic_plan_62,Fiber optic_plan_62,81,81
8108-UXRQN,Female,Yes,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,No,66,San Diego,92101,858,DSL_plan_29,DSL_plan_29,82,82
9191-MYQKX,Female,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes,98,Phoenix,85001,602,Fiber optic_plan_56,Fiber optic_plan_56,83,83
9919-YLNNG,Female,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,No,66,Fort Worth,76101,817,Fiber optic_plan_33,Fiber optic_plan_33,84,84
0318-ZOPWS,Female,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,No,48,San Antonio,78201,210,No_unknown_plan,No_unknown_plan,85,85
4445-ZJNMU,Male,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,No,53,Denver,80201,303,Fiber optic_plan_45,Fiber optic_plan_45,86,86
4808-YNLEU,Female,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,No,72,San Diego,92101,858,DSL_plan_30,DSL_plan_30,87,87
1862-QRWPE,Female,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057,No,44,Phoenix,85001,602,No_unknown_plan,No_unknown_plan,88,88
2796-NNUFI,Female,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,No,66,Philadelphia,19101,215,No_unknown_plan,No_unknown_plan,89,89
3016-KSVCP,Male,Yes,No,29,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,No,35,San Diego,92101,858,DSL_plan_62,DSL_plan_62,90,90
4767-HZZHQ,Male,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,No,60,Columbus,43201,614,Fiber optic_plan_40,Fiber optic_plan_40,91,91
2424-WVHPL,Male,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,No,55,Los Angeles,90001,213,Fiber optic_plan_60,Fiber optic_plan_60,92,92
7233-PAHHL,Male,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,No,69,San Jose,95101,408,DSL_plan_17,DSL_plan_17,93,93
6067-NGCEU,Female,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107,No,72,Philadelphia,19101,215,Fiber optic_plan_5,Fiber optic_plan_5,94,94
9848-JQJTX,Male,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,No,56,San Diego,92101,858,Fiber optic_plan_37,Fiber optic_plan_37,95,95
8637-XJIVR,Female,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,Yes,59,Charlotte,28201,704,Fiber optic_plan_32,Fiber optic_plan_32,96,96
9803-FTJCG,Male,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,No,73,Houston,77001,713,DSL_plan_12,DSL_plan_12,97,97
0278-YXOOG,Male,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,Yes,72,San Diego,92101,858,No_unknown_plan,No_unknown_plan,98,98
3212-KXOCR,Male,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.0,1107.2,No,59,Houston,77001,713,No_unknown_plan,No_unknown_plan,99,99
4598-XLKNJ,Female,Yes,No,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,Yes,38,San Diego,92101,858,Fiber optic_plan_37,Fiber optic_plan_37,100,100
6380-ARCEH,Male,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,20.2,No,49,San Diego,92101,858,No_unknown_plan,No_unknown_plan,101,101
3679-XASPY,Female,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.45,19.45,No,86,San Francisco,94101,415,No_unknown_plan,No_unknown_plan,102,102
7123-WQUHX,Male,No,No,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),95.0,3605.6,No,64,Philadelphia,19101,215,Fiber optic_plan_50,Fiber optic_plan_50,103,103
5386-THSLQ,Female,Yes,No,66,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),45.55,3027.25,No,60,San Jose,95101,408,DSL_plan_38,DSL_plan_38,104,104
3192-NQECA,Male,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,Yes,28,Austin,73301,512,Fiber optic_plan_33,Fiber optic_plan_33,105,105
6180-YBIQI,Male,No,No,5,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.3,100.2,No,58,Phoenix,85001,602,DSL_plan_64,DSL_plan_64,106,106
6728-DKUCO,Female,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,104.15,7303.05,No,49,Chicago,60601,312,Fiber optic_plan_13,Fiber optic_plan_13,107,107
9750-BOOHV,Female,No,No,32,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,30.15,927.65,No,76,Los Angeles,90001,213,DSL_plan_32,DSL_plan_32,108,108
8597-CWYHH,Male,No,No,43,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,94.35,3921.3,No,76,Los Angeles,90001,213,Fiber optic_plan_61,Fiber optic_plan_61,109,109
2848-YXSMW,Male,Yes,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.4,1363.25,No,50,Dallas,75201,214,No_unknown_plan,No_unknown_plan,110,110
0486-HECZI,Male,Yes,No,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,5238.9,Yes,54,San Diego,92101,858,Fiber optic_plan_14,Fiber optic_plan_14,111,111
4549-ZDQYY,Female,No,No,52,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),57.95,3042.25,No,63,Columbus,43201,614,DSL_plan_20,DSL_plan_20,112,112
5712-AHQNN,Female,No,No,43,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,91.65,3954.1,No,61,Chicago,60601,312,Fiber optic_plan_38,Fiber optic_plan_38,113,113
4846-WHAFZ,Female,Yes,No,37,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,2868.15,Yes,54,Indianapolis,46201,317,Fiber optic_plan_64,Fiber optic_plan_64,114,114
5256-SKJGO,Female,Yes,Yes,64,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,54.6,3423.5,No,80,Fort Worth,76101,817,DSL_plan_41,DSL_plan_41,115,115
3071-VBYPO,Male,Yes,Yes,3,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,89.85,248.4,No,64,San Jose,95101,408,Fiber optic_plan_14,Fiber optic_plan_14,116,116
9560-BBZXK,Female,No,No,36,No,No phone service,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),31.05,1126.35,No,62,Indianapolis,46201,317,DSL_plan_32,DSL_plan_32,117,117
5299-RULOA,Female,Yes,Yes,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.25,1064.65,Yes,72,Denver,80201,303,Fiber optic_plan_29,Fiber optic_plan_29,118,118
